이름,주행,가격,거주성,품질,디자인,연비,평균점수
렉서스 LC 컨버터블,10,7.5,9.5,9.8,9.6,7,8.9
렉서스 LC,10,8,6,7,8,9.8,8.1
기아 K8 하이브리드,9.6,8.6,9.6,9.3,9.4,9.5,9.3
제네시스 GV80 쿠페,9.7,7.6,9.9,9.9,9.9,5.9,8.8
제네시스 GV80,9.7,8,9.6,9.5,9.8,6.9,8.9
BMW iX M60,9.9,8.7,9.8,9.8,9.6,9.4,9.5
BMW iX3,10,8.4,9.6,7.5,8.4,8.9,8.8
BMW iX1,9.8,8.9,9.4,9.4,9.9,8.3,9.3
BMW i5 M609.9,7.9,9.6,9.9,9.9,9.6,9.9,9.5
BMW i5,9.9,7.9,9.6,9.9,9.9,9.6,9.5
BMW Z4,9.5,9.3,7.3,9.4,9.6,8.4,8.9
BMW X4,9.3,8.4,8.4,9.3,9.8,8,8.9
BMW X3 플러그인 하이브리드,9.6,8.5,9,9.4,9.6,8.5,9.1
BMW X3,9.6,8.5,9.4,9.3,9.6,8.5,9.2
BMW X1,9.7,6.8,9.6,9.7,9.9,8.2,9
BMW M8 그란쿠페,10,10,8,8,10,8,9
BMW M8,10,7,8,9,7.5,8.6,8.4
BMW M3 투어링,9.5,8,8,9,8.9,7,8.4
BMW M3,9.5,7,8,9,8.4,8,8.3
BMW 8시리즈 그란쿠페,9.9,9,9.1,9.7,9.8,7.6,9.2
BMW 8시리즈,9.9,8,9.7,9.8,9.9,7.5,9.1
BMW 7시리즈 플러그인 하이브리드,7.9,8.6,9.6,8.4,7.9,9.5,8.7
BMW 7시리즈9.7,9.3,9.7,9.9,9.8,9.7,9.3,9.6
BMW 6시리즈 그란투리스모,9.6,8.9,9.8,9.6,8.4,8.6,9.2
BMW 5시리즈,8.9,8.1,8.7,8.7,8.9,9.8,8.9
BMW 3시리즈 투어링,9.8,8.5,8.6,9.4,9.7,8.6,9.1
BMW 3시리즈,9.8,8.7,8.5,8,9,8.7,8.8
BMW 2시리즈 액티브 투어러,9.2,9.1,9.1,9.2,8.8,8.9,9.1
BMW 2시리즈 그란쿠페,9.7,8.8,7.9,9.2,9.5,8.8,9
BMW 1시리즈,9.6,8.6,8.3,9.3,9.4,8.7,9
롤스로이스 스펙터,9.8,9.4,8.6,8.5,9.1,7.1,8.8
혼다 CR-V 하이브리드,7.9,8.9,8.9,8.4,8.6,8,8.5
토요타 알파드 하이브리드,9.8,8,9.9,9.8,9.6,9.5,9.4
KGM 토레스 EVX,8.4,8.5,9.7,8.3,8.6,8.4,8.7
캠시스 CEVO-C SE,9.1,8.6,9.2,9.4,8.9,9.7,9.2
현대 아이오닉 69.7,7.5,9,8.9,8.7,9.3,9.7,8.9
볼보 XC60 플러그인 하이브리드,10,7.4,9.9,9.9,10,9.8,9.5
볼보 XC40 리차지,9.9,8.7,9.8,9.4,10,7.5,9.2
볼보 XC40,9.2,8.8,9,9.3,9.8,7,8.9
볼보 V90 크로스 컨트리,9.5,8.9,9.6,9.5,9.8,8.1,9.2
볼보 V60 크로스 컨트리,9.4,9.4,9.3,9.4,9.8,7.2,9.1
메르세데스-벤츠 S클래스,8.8,8.5,8.9,9.4,7.6,7.2,8.4
메르세데스-벤츠 마이바흐 S클래스,8.9,8.4,9.9,8.7,8.4,8.3,8.8
기아 레이 EV,9.6,9.2,9.8,9.5,9.7,8,9.3
애스턴마틴 DB11 볼란테,8.6,9.5,7.5,9.6,8.3,9,8.8
현대 아이오닉 5 N,8.1,8,9.5,9.4,7.2,8.1,8.4
포르쉐 카이엔 쿠페,9.5,7.7,9.1,9.2,9.7,7.3,8.8
포르쉐 카이엔,9.5,7.7,9.1,9.2,9.7,7.3,8.8
기아 쏘렌토 하이브리드,9.3,7.5,9.4,9,9.6,9,9
기아 쏘렌토,9.5,7.3,9.2,8.9,9.6,5.8,8.4
현대 싼타페 하이브리드,9.3,7.9,9.6,9.1,8.8,9,9
현대 싼타페,9.5,8.4,9.6,9.2,8.9,6.8,8.7
볼보 XC609.5,8.9,9.4,9.5,9.8,9.8,8.3,9.3
볼보 S60,9.6,9.5,9.4,9.5,9.8,7.8,9.3
볼보 C40 리차지,9.8,8.7,8.8,9.5,9.9,8.1,9.1
메르세데스-벤츠 GLE클래스,9,8,9.8,9.4,9.1,8.7,9
메르세데스-벤츠 GLE 쿠페,9.5,8.1,9.5,9.3,9.7,8.7,9.1
메르세데스-벤츠 AMG GLE클래스,9.1,9.2,9.6,8.9,8.5,9,9.1
메르세데스-벤츠 AMG GLE 쿠페,9.8,9.5,9.7,8.9,8.5,7.9,9.1
기아 K8,9.3,8.8,9.5,9.1,9.4,8,9
BMW X6 M,10,8.9,8,9.6,9.9,5.6,8.7
BMW X5 M,9.8,7.8,8.5,8.8,9.7,6,8.4
푸조 508,9.6,9,8.3,8.6,9.8,9.6,9.2
애스턴마틴 밴티지,5,5,5,5,5,5,5
아우디 Q4 스포트백 e-트론,9.7,8.5,9.6,9.2,9.9,9.4,9.4
아우디 Q4 e-트론,9.7,8.5,9.6,9.2,9.9,9.4,9.4
